11 | 274.010970 137.809708 52.528183 32.916575 -0.203276
14 | 273.653658 137.752105 53.380531 32.474172 -0.209957
19 | 274.415125 137.702561 54.358568 32.427841 -0.211618
20 | 274.842852 137.859536 54.312916 33.177070 -0.209503
21 | 272.719894 138.882776 54.186597 33.053766 -0.233701
35 | 274.388056 138.412872 56.321659 33.879865 -0.198799
42 | 275.869689 138.517463 55.968509 33.730470 -0.189048
45 | 275.332686 138.426999 55.998397 34.919908 -0.169638
48 | 275.803191 139.060639 56.872091 35.526725 -0.165434
50 | 275.892146 139.020205 55.739273 34.908424 -0.196237
65 | 277.420850 138.472572 57.377702 34.450916 -0.171712
82 | 289.626118 139.495547 57.159774 36.444968 -0.133730
88 | 298.296065 140.797178 56.694632 36.417784 -0.063155
90 | 299.530017 142.801535 56.004241 37.306758 -0.083261
93 | 305.150015 142.606710 56.277059 38.171061 -0.075571
94 | 307.044933 143.137283 57.027752 37.703381 -0.041078
98 | 315.196923 144.721695 56.161529 38.356194 0.028263
103 | 329.530964 153.834092 56.606010 40.532244 0.124489
106 | 337.595088 156.211505 55.888077 41.186781 0.146886
119 | 349.329723 161.006017 55.864947 41.516181 0.260427
123 | 352.819004 162.123136 56.470339 41.617051 0.283062
131 | 355.234370 163.448527 55.798814 41.883774 0.308283
140 | 355.408114 163.677854 56.940509 42.930976 0.350713
142 | 355.942654 163.755001 58.164174 42.805550 0.330765
147 | 356.565989 163.879068 58.016215 43.512046 0.325116
166 | 362.730573 164.142941 60.246156 43.642678 0.356719
167 | 364.633051 164.787646 59.636108 44.170741 0.359117
170 | 368.532713 165.128322 60.069984 44.102706 0.412766
189 | 405.475615 170.298477 58.616217 39.191078 0.634448
204 | 440.498841 181.414664 53.200637 30.408109 0.796402
210 | 444.278631 182.510436 52.034718 28.939308 0.803746
214 | 449.166923 185.366624 51.114611 28.614681 0.840824
220 | 451.039936 185.288310 51.819087 28.177443 0.832416
221 | 451.011909 184.827095 52.940276 27.844151 0.828540
222 | 451.465603 185.032509 52.398219 28.381955 0.829421
224 | 451.346742 185.330209 53.817863 27.848472 0.823494
225 | 451.476089 185.424116 53.550024 28.475940 0.830173
227 | 451.969667 185.711226 53.381035 28.613719 0.841995
235 | 451.592370 186.753044 53.802912 29.153130 0.828579
244 | 451.285599 183.562999 53.960188 28.241470 0.826414
248 | 450.004654 182.167121 52.466636 27.073967 0.815863
255 | 447.644235 180.847776 50.932807 28.060731 0.815873
256 | 446.727227 179.456768 51.906645 27.637609 0.809108
259 | 444.782552 179.497733 52.606255 28.638852 0.796001
273 | 428.588343 172.424374 54.233012 32.643613 0.708107
276 | 420.179432 168.948447 55.438484 32.860809 0.654214
277 | 418.074249 167.925108 54.882299 33.134457 0.626779
279 | 413.558856 166.081766 55.162773 33.768453 0.589082
287 | 392.457384 160.409081 54.871125 35.946850 0.466852
